"Age","CZ0
ČR","CZ01
Praha","CZ02
Střední
Čechy","CZ03
Jihozápad","CZ04
Severo-
západ","CZ05
Severo-
východ","CZ06
Jihovýchod","CZ07
Střední
Morava","CZ08
Moravsko-
slezsko","CZ010
Hl.m.Praha","CZ020
STČ kraj","CZ031
JIČ kraj","CZ032
PLZ kraj","CZ041
KVA kraj","CZ042
ÚST kraj","CZ051
LIB kraj","CZ052
KHR kraj","CZ053
PAR kraj","CZ063
VYS kraj","CZ064
JIM kraj","CZ071
OLM kraj","CZ072
ZLN kraj","CZ080
MSL kraj","CZ0100
AB","CZ0201
BN","CZ0202
BE","CZ0203
KD","CZ0204
KO","CZ0205
KH","CZ0206
ME","CZ0207
MB","CZ0208
NB","CZ0209
PY","CZ020A
PZ","CZ020B
PB","CZ020C
RA","CZ0311
CB","CZ0312
CK","CZ0313
JH","CZ0314
PI","CZ0315
PT","CZ0316
ST","CZ0317
TA","CZ0321
DO","CZ0322
KT","CZ0323
PM","CZ0324
PJ","CZ0325
PS","CZ0326
RO","CZ0327
TC","CZ0411
CH","CZ0412
KV","CZ0413
SO","CZ0421
DC","CZ0422
CV","CZ0423
LT","CZ0424
LN","CZ0425
MO","CZ0426
TP","CZ0427
UL","CZ0511
CL","CZ0512
JN","CZ0513
LI","CZ0514
SM","CZ0521
HK","CZ0522
JC","CZ0523
NA","CZ0524
RK","CZ0525
TU","CZ0531
CR","CZ0532
PU","CZ0533
SY","CZ0534
UO","CZ0631
HB","CZ0632
JI","CZ0633
PE","CZ0634
TR","CZ0635
ZR","CZ0641
BK","CZ0642
BM","CZ0643
BI","CZ0644
BV","CZ0645
HO","CZ0646
VY","CZ0647
ZN","CZ0711
JE","CZ0712
OC","CZ0713
PV","CZ0714
PR","CZ0715
SU","CZ0721
KM","CZ0722
UH","CZ0723
VS","CZ0724
ZL","CZ0801
BR","CZ0802
FM","CZ0803
KI","CZ0804
NJ","CZ0805
OP","CZ0806
OV"
-1,"5,219,791","629,550","668,102","603,857","553,336","745,075","832,863","595,665","591,343","629,550","668,102","316,013","287,844","146,012","407,324","217,041","271,430","256,604","252,711","580,152","309,888","285,777","591,343","629,550","48,444","45,586","80,384","49,801","37,178","53,028","64,254","48,503","86,902","69,975","56,507","27,540","94,579","30,810","44,777","35,044","25,421","35,035","50,347","30,689","42,802","92,309","31,725","39,292","24,243","26,784","45,061","56,749","44,202","64,642","61,883","59,395","42,761","55,973","64,096","58,574","50,829","44,149","85,361","36,702","79,776","39,550","54,399","39,204","58,501","51,658","84,978","51,640","68,328","46,892","55,981","35,926","55,208","58,704","53,560","183,300","108,750","56,894","76,148","45,214","56,286","19,210","114,068","52,989","64,152","59,469","51,696","69,932","70,504","93,645","45,755","105,332","122,567","74,730","86,467","156,492"
0,"58,549","7,933","8,077","6,586","5,592","8,132","9,624","6,462","6,143","7,933","8,077","3,482","3,104","1,350","4,242","2,449","2,928","2,755","2,719","6,905","3,356","3,106","6,143","7,933",572,572,908,687,398,644,748,581,"1,127",904,644,292,"1,109",340,441,365,275,397,555,324,442,"1,006",352,397,259,324,438,521,391,683,633,636,450,557,633,650,549,519,981,400,910,421,574,458,565,527,918,569,741,495,624,351,588,661,650,"2,301","1,384",625,782,521,642,182,"1,366",547,661,600,538,741,791,"1,036",452,"1,084","1,243",828,886,"1,650"
1,"58,221","7,627","7,864","6,567","5,671","8,266","9,485","6,450","6,291","7,627","7,864","3,518","3,049","1,404","4,267","2,544","2,861","2,861","2,682","6,803","3,479","2,971","6,291","7,627",524,528,980,577,381,614,676,533,"1,194",951,625,281,"1,112",357,434,366,304,372,573,336,393,"1,048",315,429,239,289,415,551,438,637,631,630,459,588,632,690,546,535,"1,033",430,863,393,584,420,601,562,969,558,772,492,581,342,555,712,585,"2,258","1,434",629,721,532,644,169,"1,380",574,712,644,546,725,736,964,469,"1,134","1,199",798,972,"1,719"
2,"57,502","7,819","7,999","6,546","5,646","8,010","9,110","6,280","6,092","7,819","7,999","3,462","3,084","1,406","4,240","2,409","2,840","2,761","2,560","6,550","3,324","2,956","6,092","7,819",558,583,905,549,422,653,646,562,"1,223","1,019",592,287,"1,139",366,449,360,276,374,498,332,439,"1,035",302,445,279,252,461,511,434,668,620,705,442,565,618,622,513,507,"1,006",383,867,449,574,393,557,542,967,521,731,439,633,371,532,585,609,"2,164","1,350",599,728,522,578,168,"1,340",563,626,627,508,720,726,"1,002",414,"1,098","1,193",831,909,"1,647"
3,"57,382","7,535","8,224","6,300","5,775","7,885","9,459","6,150","6,054","7,535","8,224","3,304","2,996","1,427","4,348","2,328","2,790","2,767","2,765","6,694","3,278","2,872","6,054","7,535",515,571,962,569,369,644,701,591,"1,340","1,011",660,291,"1,088",356,428,348,240,357,487,301,401,"1,017",346,408,252,271,454,534,439,690,626,677,433,566,704,652,542,482,942,362,874,386,538,408,584,551,944,518,754,514,672,382,559,638,600,"2,147","1,452",584,750,571,590,177,"1,322",572,622,585,514,733,730,895,472,"1,119","1,167",780,873,"1,643"
4,"55,943","7,305","8,152","6,193","5,646","7,746","8,869","6,130","5,902","7,305","8,152","3,344","2,849","1,449","4,197","2,358","2,780","2,608","2,501","6,368","3,226","2,904","5,902","7,305",509,533,"1,009",582,355,573,667,549,"1,398","1,085",582,310,"1,071",351,399,367,271,345,540,300,397,915,313,418,260,246,498,511,440,685,615,651,468,569,586,623,548,502,965,343,801,412,576,401,590,526,898,494,690,466,580,335,536,584,629,"2,087","1,319",574,705,508,546,169,"1,333",515,629,580,523,680,734,967,409,"1,124","1,113",791,906,"1,559"
5,"56,343","7,263","8,240","6,434","5,580","7,929","8,927","5,999","5,971","7,263","8,240","3,496","2,938","1,406","4,174","2,416","2,767","2,746","2,633","6,294","3,161","2,838","5,971","7,263",565,558,914,575,412,590,725,591,"1,383","1,051",582,294,"1,154",328,461,353,273,379,548,327,410,951,335,404,251,260,449,530,427,645,620,603,436,570,632,668,551,461,"1,000",404,862,389,553,394,569,574,951,499,722,500,638,369,509,617,597,"1,953","1,316",602,755,499,572,154,"1,266",523,627,591,527,651,699,961,426,"1,120","1,169",797,896,"1,563"
6,"56,392","7,013","8,456","6,207","5,919","7,867","8,922","6,028","5,980","7,013","8,456","3,314","2,893","1,481","4,438","2,326","2,813","2,728","2,582","6,340","3,186","2,842","5,980","7,013",577,552,922,610,402,620,731,604,"1,402","1,156",584,296,"1,051",323,459,338,262,373,508,320,401,973,310,383,248,258,494,513,474,730,651,710,468,548,690,641,553,496,939,338,828,419,570,378,618,552,954,511,711,485,605,331,554,607,594,"1,991","1,336",598,715,532,574,168,"1,331",554,592,541,475,738,719,910,415,"1,100","1,147",782,937,"1,599"
7,"61,653","7,514","8,993","6,875","6,555","8,875","9,471","6,752","6,618","7,514","8,993","3,612","3,263","1,675","4,880","2,696","3,171","3,008","2,759","6,712","3,545","3,207","6,618","7,514",613,583,"1,021",628,437,687,824,716,"1,430","1,120",635,299,"1,177",338,455,395,274,398,575,334,452,"1,032",376,487,274,308,538,603,534,780,763,721,498,632,786,700,634,550,"1,091",421,922,463,640,466,680,581,"1,000",591,836,507,657,372,557,666,661,"2,046","1,490",604,752,527,632,186,"1,355",597,725,682,577,735,815,"1,080",490,"1,259","1,353",876,931,"1,709"
8,"62,107","7,337","8,947","7,138","6,779","8,805","9,522","6,820","6,759","7,337","8,947","3,738","3,400","1,782","4,997","2,698","3,195","2,912","2,813","6,709","3,650","3,170","6,759","7,337",595,607,941,634,386,704,820,626,"1,477","1,202",626,329,"1,111",390,520,431,285,409,592,375,480,"1,099",368,490,273,315,615,612,555,811,771,678,540,705,761,731,608,565,"1,076",449,945,469,663,469,649,552,"1,013",591,756,511,712,349,592,649,643,"2,044","1,395",672,799,516,640,229,"1,354",628,726,713,549,742,828,"1,051",496,"1,238","1,311",878,"1,025","1,811"
